Nombre y Apellidos; Nombre Abreviado; Nacionalidad; Fecha de Nacimiento; Relevancia; Sexo; Áreas Destacadas(1); Áreas Destacadas(2); Áreas Destacadas(3); Enlace;Origen
Albert Einstein; aeinstein; Alemán; 1879/03/14; Desarrolló la teoría de la relatividad, revolucionando la física moderna.; Masculino; Física; Matemáticas;; https://es.wikipedia.org/wiki/Albert_Einstein;chatgpt
Marie Curie; mcurie; Polaca; 1867/11/07; Primera mujer en ganar un Nobel y descubrir la radiactividad.; Femenino; Física; Química;; https://es.wikipedia.org/wiki/Marie_Curie;chatgpt
Mahatma Gandhi; mgandhi; Indio; 1869/10/02; Lideró la independencia india mediante la resistencia no violenta.; Masculino; Política; Derechos Humanos;; https://es.wikipedia.org/wiki/Mahatma_Gandhi;chatgpt
Ada Lovelace; alovelace; Británica; 1815/12/10; Pionera de la programación, desarrolló el primer algoritmo.; Femenino; Matemáticas; Ciencias de la Computación;; https://es.wikipedia.org/wiki/Ada_Lovelace;chatgpt
Leonardo da Vinci; ldavinci; Italiano; 1452/04/15; Artista e inventor renacentista, autor de la "Mona Lisa".; Masculino; Arte; Ingeniería;; https://es.wikipedia.org/wiki/Leonardo_da_Vinci;chatgpt
Isaac Newton; inewton; Británico; 1643/01/04; Formuló las leyes del movimiento y la gravitación universal.; Masculino; Física; Matemáticas;; https://es.wikipedia.org/wiki/Isaac_Newton;chatgpt
Cleopatra VII; cleopatra; Egipcia; -69/01/01; Última faraona de Egipto, conocida por su influencia política.; Femenino; Política; Historia;; https://es.wikipedia.org/wiki/Cleopatra_VII;chatgpt
Nelson Mandela; nmandela; Sudafricano; 1918/07/18; Lideró la lucha contra el apartheid y fue el primer presidente negro de Sudáfrica.; Masculino; Política; Derechos Humanos;; https://es.wikipedia.org/wiki/Nelson_Mandela;chatgpt
Frida Kahlo; fkahlo; Mexicana; 1907/07/06; Pintora icónica conocida por su arte autobiográfico y su impacto cultural.; Femenino; Arte; Activismo;; https://es.wikipedia.org/wiki/Frida_Kahlo;chatgpt
Socrates; socrates; Griego; -470/01/01; Filósofo clásico, padre de la filosofía occidental.; Masculino; Filosofía; Ética;; https://es.wikipedia.org/wiki/Sócrates;chatgpt
